"session_id","name","exotel_call_sid"
"87a0018c-0535-49d2-a873-ccbcd6f63382","Vishnu Vardhan","c2219f143f5708713d5998e94b831957"
"410064f1-f295-4db1-95db-cdb02ec2d389","Vishnu Vardhan","428d56b615869bfc7eba9e9e43da1957"
"3bfb6da3-bbc3-48d0-b585-52c674b60c96","Vishnu Vardhan","f78f05c5bbedac08b6c71219c3e41957"
"51c2847b-1aa3-496d-92c8-caa1d4a3e816","Vishnu Vardhan","9b58e3607c4759b960778cee951c1957"
"295ca3a1-573a-4e70-8bec-bb14975c2bd3","Vishnu Vardhan","070dce7041b9d48675b0651fc72c1957"
"eaa142bb-ea2c-4692-b163-566ba300ed42","Vishnu Vardhan","e1749cc036bf905f622a2842c53a1957"
"3796e1b6-c070-4be9-95c7-8acea6f0d1a0","Vishnu Vardhan","9d05e0325909defefbcb693b44b31957"
"03e2dbfe-5199-4f15-b050-370447a3f153","Vishnu Vardhan","31e3b163562202da37b863ee07f41957"
"a68ade5b-0ae2-4548-bad3-e2261f2f4ba9","Vishnu Vardhan","8a2eeb695f593b9004e579531d9a1957"
"287946e8-44d0-4f55-82f8-2b2e62d80f0d","Vishnu Vardhan","8f2091c05285318f979539ba4cdf1957"
"87b2f1d0-ee72-463b-8863-7e21d9eba075","Vishnu Vardhan","4b0ba09e614816b856596826570e1957"
"e75f97bd-e923-4e8f-bcdc-312f62c8a842","Vishnu Vardhan","66429d2b78f18811ed2f74a23d3d1957"
"7bef0f7e-4c8f-49be-9a14-f0a7fec72fea","Vishnu Vardhan","b1d2c8e9b872fcee6a5dac7d5c1b1957"
"51bab32d-7b3e-4c9c-acd5-80b3f2287b37","Vishnu Vardhan","0589af16148554efc11f8383c8071957"
"feb8db77-2553-4595-9c7d-203ae6ed0339","Vishnu Vardhan","75a99529d7e8ec8f99c8131acb2f1957"
"c91d8d92-22a8-4f60-b6b4-d8bce2cd2158","Vishnu Vardhan","99551438345ef273b2ca50310ae91957"
"0b264713-cd7d-4caa-ba4b-c4db5100a6d4","Vishnu Vardhan","66bb5a9426e2a3ceb5c062b9ff1c1957"
"0ca87f5d-7dca-4f5a-8e35-209ba65e78e3","Vishnu Vardhan","a7f2b5b7dbd19cc605e81bcb486b1957"
"21006fe1-685e-4c73-bfc0-2326c87751ab","Vishnu Vardhan",NULL
"cda86de9-a972-41de-ae68-8d30fefb2101","Vishnu Vardhan","d9b974405697328219e07b8ed2c61957"
"34867727-3b11-451f-997d-78dddc708042","Vishnu Vardhan","cc97bcb6af5087edb57a5bdc8a2e1957"
"1e5dda31-5796-41fc-9bd2-e370aac7a374","Vishnu Vardhan","208bf0b2efa97f86d9838eb49cb21957"
"4331b72c-1c29-4b74-8a4d-10969126f7d0","Vishnu Vardhan","1c3dd45f8adc2fdb18d1231690fa1957"
"5c4b721a-af10-49f6-8281-e733d69c8135","Vishnu Vardhan","128321eac8e3142a8e848a26719f1957"
"56402762-b14b-4e20-862c-a43fc73eb0b3","Vishnu Vardhan","f328974764b4de704c7b5fa8a6811957"
"438ed46a-eff6-4ff4-be22-2e99264d8e10","Vishnu Vardhan","1a855efd653c2560dfd4cf7c070c1957"
